team,part,pld,w,d,l,gf,ga,gd,pts
Brazil,22,114,76,19,19,237,108,+129,247
Germany,20,112,68,21,23,232,130,+102,225
Argentina,18,88,47,17,24,152,101,+51,158
Italy,18,83,45,21,17,128,77,+51,156
France,16,73,39,14,20,136,85,+51,131
England,16,74,32,22,20,104,68,+36,118
Spain,16,67,31,17,19,108,75,+33,110
Netherlands,11,55,30,14,11,96,52,+44,104
Uruguay,14,59,25,13,21,89,76,+13,88
Belgium,14,51,21,10,20,69,74,−5,73
Sweden,12,51,19,13,19,80,73,+7,70
Russia,11,45,19,10,16,77,54,+23,67
Mexico,17,60,17,15,28,62,101,−39,66
Serbia,13,49,18,9,22,71,71,0,63
Portugal,8,35,17,6,12,61,41,+20,57
Poland,9,38,17,6,15,49,50,−1,57
Switzerland,12,41,14,8,19,55,73,−18,50
Hungary,9,32,15,3,14,87,57,+30,48
Croatia,6,30,13,8,9,43,33,+10,47
Czech Republic,9,33,12,5,16,47,49,−2,41
Austria,7,29,12,4,13,43,47,−4,40
Chile,9,33,11,7,15,40,49,−9,40
United States,11,37,9,8,20,40,66,−26,35
Denmark,6,23,9,6,8,31,29,+2,33
Paraguay,8,27,7,10,10,30,38,−8,31
South Korea,11,38,7,10,21,39,78,−39,31
Colombia,6,22,9,3,10,32,30,+2,30
Romania,7,21,8,5,8,30,32,−2,29
Japan,7,25,7,6,12,25,33,−8,27
Costa Rica,6,21,6,5,10,22,39,−17,23
Cameroon,8,26,5,8,13,22,47,−25,23
Morocco,6,23,5,7,11,20,27,−7,22
Nigeria,6,21,6,3,12,23,30,−7,21
Scotland,8,23,4,7,12,25,41,−16,19
Senegal,3,12,5,3,4,16,17,−1,18
Ghana,4,15,5,3,7,18,23,−5,18
Peru,5,18,5,3,10,21,33,−12,18
Ecuador,4,13,5,2,6,14,14,0,17
Bulgaria,7,26,3,8,15,22,53,−31,17
Turkey,2,10,5,1,4,20,17,+3,16
Australia,6,20,4,4,12,17,37,−20,16
Republic of Ireland,3,13,2,8,3,10,10,0,14
Northern Ireland,3,13,3,5,5,13,23,−10,14
Tunisia,6,18,3,5,10,14,26,−12,14
Saudi Arabia,6,19,4,2,13,14,44,−30,14
Iran,6,18,3,4,11,13,31,−18,13
Algeria,4,13,3,3,7,13,19,−6,12
Ivory Coast,3,9,3,1,5,13,14,−1,10
South Africa,3,9,2,4,3,11,16,−5,10
Norway,3,8,2,3,3,7,8,−1,9
East Germany,1,6,2,2,2,5,5,0,8
Greece,3,10,2,2,6,5,20,−15,8
Ukraine,1,5,2,1,2,5,7,−2,7
Wales,2,8,1,4,3,5,10,−5,7
Slovakia,1,4,1,1,2,5,7,−2,4
Slovenia,2,6,1,1,4,5,10,−5,4
Cuba,1,3,1,1,1,5,12,−7,4
North Korea,2,7,1,1,5,6,21,−15,4
Bosnia and Herzegovina,1,3,1,0,2,4,4,0,3
Jamaica,1,3,1,0,2,3,9,−6,3
New Zealand,2,6,0,3,3,4,14,−10,3
Honduras,3,9,0,3,6,3,14,−11,3
Angola,1,3,0,2,1,1,2,−1,2
Israel,1,3,0,2,1,1,3,−2,2
Egypt,3,7,0,2,5,5,12,−7,2
Iceland,1,3,0,1,2,2,5,−3,1
Kuwait,1,3,0,1,2,2,6,−4,1
Trinidad and Tobago,1,3,0,1,2,0,4,−4,1
Bolivia,3,6,0,1,5,1,20,−19,1
Iraq,1,3,0,0,3,1,4,−3,0
Togo,1,3,0,0,3,1,6,−5,0
Qatar,1,3,0,0,3,1,7,−6,0
Indonesia,1,1,0,0,1,0,6,−6,0
Panama,1,3,0,0,3,2,11,−9,0
United Arab Emirates,1,3,0,0,3,2,11,−9,0
China,1,3,0,0,3,0,9,−9,0
Canada,2,6,0,0,6,2,12,−10,0
Haiti,1,3,0,0,3,2,14,−12,0
DR Congo,1,3,0,0,3,0,14,−14,0
El Salvador,2,6,0,0,6,1,22,−21,0
Cape Verde,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0
